geonameid,name,population,latitude,longitude,feature_code,feature_class,admin2_code
756920,Tłuste,361,52.15034,20.61567,PPL,P,1405
756933,Tereszpol,1157,50.58373,22.8798,PPLA3,P,0602
756938,Terespol,6000,52.0755,23.61614,PPLA3,P,0601
756939,Teresin,2500,52.19887,20.41672,PPL,P,1428
756980,Telatyn,603,50.52712,23.83956,PPLA3,P,0618
756992,Tczów,620,51.326,21.44677,PPLA3,P,1436
757020,Tarnowiec,1485,49.98164,20.98655,PPL,P,1216
757021,Tarnowiec,1200,49.73108,21.57663,PPLA3,P,1805
757024,Tarnów,100,51.7912,21.43888,PPL,P,1403
757025,Tarnów,103,51.32112,23.3214,PPL,P,0603
757026,Tarnów,117799,50.01381,20.98698,PPLA2,P,1263
757029,Tarnogród,3396,50.3609,22.74174,PPLA3,P,0602
757032,Tarnogóra,897,50.36857,22.31804,PPL,P,1808
757033,Tarnobrzeg,50459,50.57304,21.67937,PPLA2,P,1864
757044,Tarnawatka,1000,50.53154,23.3959,PPLA3,P,0618
757045,Tarnawa Górna,874,49.45725,22.25607,PPL,P,1817
757046,Tarnawa Dolna,940,49.47691,22.25796,PPL,P,1817
757050,Tarłów,790,51.0016,21.71474,PPLA3,P,2606
757061,Targowisko,238,50.87114,22.63081,PPL,P,0609
757063,Targowisko,1670,49.98473,20.29346,PPL,P,1219
757071,Tarczyn,3904,51.98197,20.83394,PPLA3,P,1418
757133,Szypliszki,301,54.25369,23.07558,PPL,P,2012
757135,Szynwałd,3114,49.96767,21.12293,PPL,P,1216
757156,Szymanowo,132,53.92254,21.12551,PPL,P,2810
757174,Szydłowo,579,53.08062,20.45071,PPLA3,P,1413
757178,Szydłowiec,12128,51.22823,20.86106,PPLA2,P,1430
757182,Szydłów,1097,50.59114,21.0068,PPLA3,P,2612
757214,Szumowo,1100,52.91884,22.08449,PPL,P,2014
757231,Szudziałowo,650,53.29862,23.65477,PPL,P,2011
757238,Sztabin,920,53.68181,23.09772,PPL,P,2001
757240,Szreńsk,1200,53.01277,20.12009,PPLA3,P,1413
757276,Szlembark,572,49.47526,20.21193,PPL,P,1211
757322,Szerzyny,2235,49.80919,21.2467,PPLA3,P,1216
757323,Szerszenie,14000,52.3978,22.95632,PPL,P,2010
757335,Szepietowo,2335,52.87032,22.54392,PPLA3,P,2013
757343,Szelków,284,52.83487,21.21769,PPLA3,P,1411
757357,Szczytno,26044,53.56259,20.98747,PPLA3,P,2817
757363,Szczytniki,559,49.9743,20.22995,PPL,P,1219
757366,Szczytna,313,50.00675,22.60643,PPL,P,1804
757367,Szczyrzyc,571,49.78304,20.19012,PPL,P,1207
757376,Szczurowa,1722,50.11915,20.6361,PPLA3,P,1202
757386,Szczuczyn,3552,53.5633,22.28534,PPLA3,P,2004
757388,Szczucin,4166,50.30957,21.07444,PPLA3,P,1204
757420,Szczepanów,947,50.0052,20.65447,PPL,P,1202
757452,Szczebrzeszyn,5255,50.69499,22.97954,PPLA3,P,0620
757461,Szczawnica,6032,49.42437,20.48487,PPL,P,1211
757472,Szastarka,983,50.85527,22.31971,PPLA3,P,0607
757479,Szarów,1337,49.99505,20.2696,PPL,P,1219
757512,Szaflary,2200,49.42655,20.02713,PPL,P,1211
757531,Sypniewo,480,53.0058,21.3073,PPLA3,P,1411
757579,Świniary,174,53.18588,20.86656,PPL,P,1422
757580,Świniary,253,52.30323,22.15659,PPL,P,1426
757581,Świniary,351,50.35811,20.94483,PPL,P,2601
757585,Świlcza,3000,50.07179,21.89798,PPLA3,P,1816
757608,Swiętajno,1600,54.00151,22.3183,PPL,P,2813
757610,Świętajno,2000,53.56692,21.21546,PPL,P,2817
757640,Świerczów,545,51.115,20.63026,PPL,P,2605
757641,Świerczów,347,50.26005,21.72778,PPL,P,1806
757665,Świebodzin,300,50.2573,20.90132,PPL,P,1204
757666,Świebodna,559,49.90293,22.44284,PPL,P,1804
757692,Świdnik,40050,51.21898,22.69621,PPL,P,0617
757697,Świdnica,178,50.2152,23.34234,PPL,P,1809
757707,Świątki,852,53.92704,20.24265,PPL,P,2814
757711,Swarzów,751,50.19514,20.95591,PPL,P,1204
757718,Suwałki,69222,54.11175,22.93087,PPLA2,P,2063
757735,Susiec,1300,50.41973,23.19626,PPLA3,P,0618
757751,Suraż,993,52.94908,22.95653,PPLA3,P,2002
757758,Supraśl,4526,53.20526,23.33934,PPLA3,P,2002
757773,Sułów,1115,50.90661,22.36061,PPL,P,0607
757774,Sułów,460,50.77099,22.95593,PPLA3,P,0620
757775,Sułów,448,49.95056,20.12498,PPL,P,1219
757782,Sułkowice,1100,51.9231,21.08929,PPL,P,1406
757783,Sułkowice,256,50.41782,20.84415,PPL,P,2601
757809,Sulejówek,18414,52.25221,21.26902,PPLA3,P,1412
757810,Sulejów,480,52.44058,21.56067,PPL,P,1434
757811,Sulejów,150,50.98394,21.79396,PPL,P,2606
757814,Sulęcin Szlachecki,330,52.88379,21.88185,PPL,P,1416
757815,Sulechów,464,50.12696,20.10138,PPL,P,1206
757845,Suchy Las,78,52.13591,20.84965,PPL,P,1421
